Building ID,Portfolio Manager ID,State,Postal Code,Country,Year Built,GSF,Region
AK0000AA ,2999292,Alaska,99513,United States,1976,727348,10
AK0000AB ,20597,Alaska,99827,United States,1979,17927,10
AK0000AH ,2629904,Alaska,99780,United States,1973,43166,10
AK0001ZZ ,20600,Alaska,99501,United States,1940,101976,10
AK0005AK ,20599,Alaska,99901,United States,1938,41652,10
AK0013ZZ ,2629908,Alaska,99801,United States,1966,335822,10
AK0029ZZ ,2629910,Alaska,99701,United States,1977,200468,10
AK0032AA ,2536762,Alaska,99513,United States,1976,75289,10
AK0514ZZ ,2629911,Alaska,99833,United States,1972,11318,10
AK0526ZZ ,2629912,Alaska,99840,United States,1994,5016,10
AL0000AB ,2629913,Alabama,36602,United States,1932,399659,4
AL0000AC ,2385102,Alabama,36104,United States,2000,427480,4
AL0004ZZ ,2629914,Alabama,36201,United States,1906,19397,4
AL0007ZZ ,2629915,Alabama,36602,United States,2010,346691,4
AL0010ZZ ,2999293,Alabama,35401,United States,2012,123259,4
AL0011ZZ ,2629916,Alabama,35203,United States,1921,173996,4
AL0019ZZ ,2629917,Alabama,36301,United States,1911,21224,4
AL0028ZZ ,2629918,Alabama,35901,United States,1910,34920,4
AL0034ZZ ,2629919,Alabama,35801,United States,1936,40929,4
AL0046ZZ ,819,Alabama,36801,United States,1918,23383,4
AL0055ZZ ,2629920,Alabama,36701,United States,1909,26140,4
AL0079ZZ ,2629922,Alabama,35201,United States,1967,10965,4
AR0000RK ,830,Arkansas,72201,United States,1932,881403,7
AR0021ZZ ,1976058,Arkansas,72901,United States,1937,97092,7
AR0031ZZ ,1772097,Arkansas,72201,United States,1881,88021,7
AR0057ZZ ,2394954,Arkansas,75501,United States,1933,100674,7
AR0062ZZ ,1779496,Arkansas,71901,United States,1961,69987,7
AR0066ZZ ,1978154,Arkansas,72342,United States,1959,40155,7
AR0078ZZ ,1775888,Arkansas,71601,United States,1966,107960,7
AR0079ZZ ,1977394,Arkansas,72501,United States,1974,52558,7
AR0084ZZ ,1930409,Arkansas,72701,United States,1974,64186,7
AZ0000AA ,1299757,Arizona,85341,United States,1976,24275,9
AZ0000BB ,1299747,Arizona,85621,United States,1936,100225,9
AZ0000CC ,1303974,Arizona,85633,United States,1937,15502,9
AZ0000DD ,1303915,Arizona,85607,United States,1933,66357,9
AZ0000FF ,1299729,Arizona,85713,United States,1965,13511,9
AZ0000GG ,1303969,Arizona,85349,United States,1984,51029,9
AZ0000HH ,1299718,Arizona,85620,United States,1937,22701,9
AZ0000JJ ,2629923,Arizona,85349,United States,2008,93956,9
AZ0000WW,1303927,Arizona,85621,United States,1985,104804,9
AZ0015ZZ ,1279942,Arizona,85701,United States,1930,77539,9
AZ0051ZZ ,2999298,Arizona,85003,United States,1962,0,9
AZ0052ZZ ,1279941,Arizona,85025,United States,1962,304848,9
AZ0058ZZ ,1283262,Arizona,85701,United States,1974,172676,9
AZ0303ZZ ,1283331,Arizona,85003,United States,2000,564113,9
AZ0307ZZ ,1279859,Arizona,85701,United States,2000,439713,9
AZ0369ZZ,3981441,Arizona,85364,United States,2013,62299,9
CA0000AA,1283266,California,94111,United States,1993,673367,9
CA0000BB ,1299754,California,92231,United States,1974,138180,9
CA0000CC ,1279897,California,90053,United States,1965,2469628,9
CA0000DD ,1283474,California,94103,United States,1905,470322,9
CA0000GG ,1278821,California,92115,United States,1932,223847,9
