Property Name,Portfolio Manager ID,Use Type
"AK0000AA - FEDERAL BLDG, USCT",2999292,Office
AK0000AB - USBS DALTON CACHE,20597,Other - Public Services
AK0000AH - USBS ALCAN,2629904,Other - Public Services
AK0001ZZ - ANCHORAGE FED BLDG,20600,Office
AK0001ZZ - ANCHORAGE FED BLDG,20600,Office
AK0001ZZ - ANCHORAGE FED BLDG,20600,Office
AK0005AK - Ketchikan FB,20599,Office
AK0005AK - Ketchikan FB,20599,Office
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Office
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Office
AK0013ZZ - HURFF A. SAUNDERS FB-CTHS,2629908,Office
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Office
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Parking
AK0029ZZ - FAIRBANKS FED BLDG,2629910,Office
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,Office
AK0032AA - Anchorage Federal Building U.S. Courthouse Annex,2536762,Office
AK0514ZZ - PETERSBURG FED BLDG,2629911,Office
AK0526ZZ - USBS SKAGWAY,2629912,Other - Public Services
AL0000AB - CAMPBELL FED BLDG & CTHSE,2629913,Courthouse
AL0000AC - JOHNSON FED BLDG CTHSE,2385102,Courthouse
AL0004ZZ - ANNISTON FED BLDG & CTHSE,2629914,Courthouse
AL0007ZZ - MOBILE US COURTHOUSE,2629915,Courthouse
AL0011ZZ - VANCE FED BLDG & COURTHSE,2629916,Courthouse
AL0019ZZ - DOTHAN FED BLDG & CRTHSE,2629917,Courthouse
AL0028ZZ - GADSEN FED BLDG & CTHSE,2629918,Courthouse
AL0034ZZ - HUNTSVILLE PO & COURTHSE,2629919,Courthouse
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,Office
AL0046ZZ - ANDREWS FED BLG & CTHSE,819,Parking
AL0055ZZ - SELMA FED BLDG & COURTHSE,2629920,Courthouse
AL0079ZZ - SSA BUILDING,2629922,Office
AR0000RK - LITTLE ROCK FB CT,830,Office
AR0000RK - LITTLE ROCK FB CT,830,Courthouse
AR0000RK - LITTLE ROCK FB CT,830,Office
AR0000RK - LITTLE ROCK FB CT,830,Parking
AR0021ZZ - IC PARKER CTHSE PO,1976058,Courthouse
AR0021ZZ - IC PARKER CTHSE PO,1976058,Office
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Courthouse
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Office
AR0031ZZ - OLD POST OFFICE CTHS,1772097,Parking
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Office
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Courthouse
AR0057ZZ - TEXARKANA USPO CTHS,2394954,Other - Services
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Courthouse
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Office
AR0062ZZ - HOT SPRGS USPS CTHS,1779496,Office
AR0066ZZ - HELENA USPS CTHS,1978154,Courthouse
AR0066ZZ - HELENA USPS CTHS,1978154,Office
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Office
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Courthouse
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Office
AR0078ZZ - G HOWARD FB USPO CTH,1775888,Other - Services
AR0079ZZ - BATESVILLE FB PO CT,1977394,Courthouse
AR0079ZZ - BATESVILLE FB PO CT,1977394,Office
