Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2386983,4717950,District Chilled Water - Other,7920.0,ton hours,12745.0,2002,10
2386983,4717950,District Chilled Water - Other,0.0,ton hours,9387.0,2002,11
2386983,4717950,District Chilled Water - Other,0.0,ton hours,11502.0,2002,12
2386983,4717950,District Chilled Water - Other,0.0,ton hours,11502.0,2003,01
2386983,4717950,District Chilled Water - Other,0.0,ton hours,11502.0,2003,02
2386983,4717950,District Chilled Water - Other,0.0,ton hours,11502.0,2003,03
2386983,4717950,District Chilled Water - Other,7429.0,ton hours,11971.0,2003,04
2386983,4717950,District Chilled Water - Other,29867.0,ton hours,13388.0,2003,05
2386983,4717950,District Chilled Water - Other,79961.0,ton hours,17462.0,2003,06
2386983,4717950,District Chilled Water - Other,125942.0,ton hours,19454.0,2003,07
2386983,4717950,District Chilled Water - Other,124462.0,ton hours,19360.0,2003,08
2386983,4717950,District Chilled Water - Other,66775.0,ton hours,15718.0,2003,09
2386983,4717950,District Chilled Water - Other,17904.0,ton hours,11804.0,2003,10
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10674.0,2003,11
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10674.0,2003,12
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10674.0,2004,01
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10674.0,2004,02
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10674.0,2004,03
2386983,4717950,District Chilled Water - Other,9588.0,ton hours,11279.0,2004,04
2386983,4717950,District Chilled Water - Other,32757.0,ton hours,12742.0,2004,05
2386983,4717950,District Chilled Water - Other,80240.0,ton hours,16567.0,2004,06
2386983,4717950,District Chilled Water - Other,109148.0,ton hours,17565.0,2004,07
2386983,4717950,District Chilled Water - Other,81763.0,ton hours,16911.0,2004,08
2386983,4717950,District Chilled Water - Other,83507.0,ton hours,17119.0,2004,09
2386983,4717950,District Chilled Water - Other,17543.0,ton hours,11444.0,2004,10
2386983,4717950,District Chilled Water - Other,1392.0,ton hours,10425.0,2004,11
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10337.0,2004,12
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10337.0,2005,01
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10337.0,2005,02
2386983,4717950,District Chilled Water - Other,0.0,ton hours,10337.0,2005,03
2386983,4717950,District Chilled Water - Other,18652.0,ton hours,11514.0,2005,04
2386983,4717950,District Chilled Water - Other,34754.0,ton hours,12531.0,2005,05
2386983,4717950,District Chilled Water - Other,93519.0,ton hours,16241.0,2005,06
