Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
2630100,7676269,Other Indoor,521.0,ccf (hundred cubic feet),1877.81,2010,03
2630100,7676269,Other Indoor,563.0,ccf (hundred cubic feet),1565.38,2010,06
2630100,7676269,Other Indoor,253.0,ccf (hundred cubic feet),778.79,2010,09
2630100,7676269,Other Indoor,153.0,ccf (hundred cubic feet),480.83,2010,12
2630100,7676269,Other Indoor,135.0,ccf (hundred cubic feet),424.26,2011,03
2630100,7676269,Other Indoor,97.0,ccf (hundred cubic feet),304.84,2011,06
2630100,7676269,Other Indoor,84.0,ccf (hundred cubic feet),280.15,2011,09
2630100,7676269,Other Indoor,109.0,ccf (hundred cubic feet),368.09,2011,12
2630100,7676269,Other Indoor,461.0,ccf (hundred cubic feet),1556.8,2012,03
2630100,7676269,Other Indoor,335.0,ccf (hundred cubic feet),1131.29,2012,06
2630100,7676269,Other Indoor,323.0,ccf (hundred cubic feet),1152.16,2012,09
2630100,7676269,Other Indoor,306.0,ccf (hundred cubic feet),1105.08,2012,12
2630100,7676269,Other Indoor,527.0,ccf (hundred cubic feet),1903.19,2013,03
2630100,7676269,Other Indoor,310.0,ccf (hundred cubic feet),1119.52,2013,06
