Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
3237241,6157883,District Chilled Water - Electric,-239046.0,kBtu (thousand Btu),0.0,2011,08
3237241,6157883,District Chilled Water - Electric,-184037.0,kBtu (thousand Btu),0.0,2011,09
3237241,6157883,District Chilled Water - Electric,-95819.0,kBtu (thousand Btu),0.0,2011,10
3237241,6157883,District Chilled Water - Electric,-12352.0,kBtu (thousand Btu),0.0,2011,11
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2011,12
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2012,01
3237241,6157883,District Chilled Water - Electric,-1.0,kBtu (thousand Btu),0.0,2012,02
3237241,6157883,District Chilled Water - Electric,-73570.0,kBtu (thousand Btu),0.0,2012,03
3237241,6157883,District Chilled Water - Electric,-151648.0,kBtu (thousand Btu),0.0,2012,04
3237241,6157883,District Chilled Water - Electric,-208326.0,kBtu (thousand Btu),0.0,2012,05
3237241,6157883,District Chilled Water - Electric,-490962.0,kBtu (thousand Btu),0.0,2012,06
3237241,6157883,District Chilled Water - Electric,-598477.0,kBtu (thousand Btu),0.0,2012,07
3237241,6157883,District Chilled Water - Electric,-600072.0,kBtu (thousand Btu),0.0,2012,08
3237241,6157883,District Chilled Water - Electric,-437454.0,kBtu (thousand Btu),0.0,2012,09
3237241,6157883,District Chilled Water - Electric,-223750.0,kBtu (thousand Btu),0.0,2012,10
3237241,6157883,District Chilled Water - Electric,-108478.0,kBtu (thousand Btu),0.0,2012,11
3237241,6157883,District Chilled Water - Electric,-33578.0,kBtu (thousand Btu),0.0,2012,12
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2013,01
3237241,6157883,District Chilled Water - Electric,-2.0,kBtu (thousand Btu),0.0,2013,02
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2013,03
3237241,6157883,District Chilled Water - Electric,-64788.0,kBtu (thousand Btu),0.0,2013,04
3237241,6157883,District Chilled Water - Electric,-107201.0,kBtu (thousand Btu),0.0,2013,05
3237241,6157883,District Chilled Water - Electric,-405780.2,kBtu (thousand Btu),0.0,2013,06
3237241,6157883,District Chilled Water - Electric,-363407.6,kBtu (thousand Btu),0.0,2013,07
3237241,6157883,District Chilled Water - Electric,-359465.9,kBtu (thousand Btu),0.0,2013,08
3237241,6157883,District Chilled Water - Electric,-189975.4,kBtu (thousand Btu),0.0,2013,09
3237241,6157883,District Chilled Water - Electric,-56945.05,kBtu (thousand Btu),0.0,2013,10
3237241,6157883,District Chilled Water - Electric,-12352.0,kBtu (thousand Btu),0.0,2013,11
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2013,12
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2014,01
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2014,02
3237241,6157883,District Chilled Water - Electric,-22455.7,kBtu (thousand Btu),0.0,2014,03
3237241,6157883,District Chilled Water - Electric,-52018.0,kBtu (thousand Btu),0.0,2014,04
3237241,6157883,District Chilled Water - Electric,-84536.53,kBtu (thousand Btu),0.0,2014,05
3237241,6157883,District Chilled Water - Electric,-202785.7,kBtu (thousand Btu),0.0,2014,06
3237241,6157883,District Chilled Water - Electric,-350597.2,kBtu (thousand Btu),0.0,2014,07
3237241,6157883,District Chilled Water - Electric,-203673.75,kBtu (thousand Btu),0.0,2014,08
3237241,6157883,District Chilled Water - Electric,-75733.0,kBtu (thousand Btu),0.0,2014,09
3237241,6157883,District Chilled Water - Electric,-16564.5,kBtu (thousand Btu),0.0,2014,10
3237241,6157883,District Chilled Water - Electric,-43.0,kBtu (thousand Btu),0.0,2014,11
3237241,6157883,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2014,12
3237241,6157835,District Chilled Water - Electric,-699918.0,kBtu (thousand Btu),0.0,2011,08
3237241,6157835,District Chilled Water - Electric,-425956.0,kBtu (thousand Btu),0.0,2011,09
3237241,6157835,District Chilled Water - Electric,-188698.0,kBtu (thousand Btu),0.0,2011,10
3237241,6157835,District Chilled Water - Electric,-20436.0,kBtu (thousand Btu),0.0,2011,11
3237241,6157835,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2011,12
3237241,6157835,District Chilled Water - Electric,-76.0,kBtu (thousand Btu),0.0,2012,01
3237241,6157835,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2012,02
3237241,6157835,District Chilled Water - Electric,-118426.0,kBtu (thousand Btu),0.0,2012,03
3237241,6157835,District Chilled Water - Electric,-245486.0,kBtu (thousand Btu),0.0,2012,04
3237241,6157835,District Chilled Water - Electric,-454978.0,kBtu (thousand Btu),0.0,2012,05
3237241,6157835,District Chilled Water - Electric,-787614.0,kBtu (thousand Btu),0.0,2012,06
3237241,6157835,District Chilled Water - Electric,-933978.0,kBtu (thousand Btu),0.0,2012,07
3237241,6157835,District Chilled Water - Electric,-840352.0,kBtu (thousand Btu),0.0,2012,08
3237241,6157835,District Chilled Water - Electric,-440908.0,kBtu (thousand Btu),0.0,2012,09
3237241,6157835,District Chilled Water - Electric,-245918.0,kBtu (thousand Btu),0.0,2012,10
3237241,6157835,District Chilled Water - Electric,-165226.0,kBtu (thousand Btu),0.0,2012,11
3237241,6157835,District Chilled Water - Electric,-23146.0,kBtu (thousand Btu),0.0,2012,12
3237241,6157835,District Chilled Water - Electric,-18.0,kBtu (thousand Btu),0.0,2013,01
3237241,6157835,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2013,02
3237241,6157835,District Chilled Water - Electric,-5048.0,kBtu (thousand Btu),0.0,2013,03
3237241,6157835,District Chilled Water - Electric,-21816.0,kBtu (thousand Btu),0.0,2013,04
3237241,6157835,District Chilled Water - Electric,-254410.0,kBtu (thousand Btu),0.0,2013,05
3237241,6157835,District Chilled Water - Electric,-620200.0,kBtu (thousand Btu),0.0,2013,06
3237241,6157835,District Chilled Water - Electric,-712490.0,kBtu (thousand Btu),0.0,2013,07
3237241,6157835,District Chilled Water - Electric,-661382.0,kBtu (thousand Btu),0.0,2013,08
3237241,6157835,District Chilled Water - Electric,-372736.0,kBtu (thousand Btu),0.0,2013,09
3237241,6157835,District Chilled Water - Electric,-66716.0,kBtu (thousand Btu),0.0,2013,10
3237241,6157835,District Chilled Water - Electric,-15226.0,kBtu (thousand Btu),0.0,2013,11
3237241,6157835,District Chilled Water - Electric,-7350.0,kBtu (thousand Btu),0.0,2013,12
3237241,6157835,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2014,01
3237241,6157835,District Chilled Water - Electric,-4012.0,kBtu (thousand Btu),0.0,2014,02
3237241,6157835,District Chilled Water - Electric,-25446.0,kBtu (thousand Btu),0.0,2014,03
3237241,6157835,District Chilled Water - Electric,-107860.0,kBtu (thousand Btu),0.0,2014,04
3237241,6157835,District Chilled Water - Electric,-214634.0,kBtu (thousand Btu),0.0,2014,05
3237241,6157835,District Chilled Water - Electric,-394990.0,kBtu (thousand Btu),0.0,2014,06
3237241,6157835,District Chilled Water - Electric,-550300.0,kBtu (thousand Btu),0.0,2014,07
3237241,6157835,District Chilled Water - Electric,-451228.0,kBtu (thousand Btu),0.0,2014,08
3237241,6157835,District Chilled Water - Electric,-320128.0,kBtu (thousand Btu),0.0,2014,09
3237241,6157835,District Chilled Water - Electric,-157526.0,kBtu (thousand Btu),0.0,2014,10
3237241,6157835,District Chilled Water - Electric,-27158.0,kBtu (thousand Btu),0.0,2014,11
3237241,6157835,District Chilled Water - Electric,-23584.0,kBtu (thousand Btu),0.0,2014,12
3237241,9853069,District Chilled Water - Electric,-59192.0,kBtu (thousand Btu),0.0,2011,08
3237241,9853069,District Chilled Water - Electric,-47463.0,kBtu (thousand Btu),0.0,2011,09
3237241,9853069,District Chilled Water - Electric,-29197.0,kBtu (thousand Btu),0.0,2011,10
3237241,9853069,District Chilled Water - Electric,-5240.0,kBtu (thousand Btu),0.0,2011,11
3237241,9853069,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2011,12
3237241,9853069,District Chilled Water - Electric,-176.0,kBtu (thousand Btu),0.0,2012,01
3237241,9853069,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2012,02
3237241,9853069,District Chilled Water - Electric,-12680.0,kBtu (thousand Btu),0.0,2012,03
3237241,9853069,District Chilled Water - Electric,-24407.0,kBtu (thousand Btu),0.0,2012,04
3237241,9853069,District Chilled Water - Electric,-47661.0,kBtu (thousand Btu),0.0,2012,05
3237241,9853069,District Chilled Water - Electric,-69746.0,kBtu (thousand Btu),0.0,2012,06
3237241,9853069,District Chilled Water - Electric,-88682.0,kBtu (thousand Btu),0.0,2012,07
3237241,9853069,District Chilled Water - Electric,-82411.0,kBtu (thousand Btu),0.0,2012,08
3237241,9853069,District Chilled Water - Electric,-39378.0,kBtu (thousand Btu),0.0,2012,09
3237241,9853069,District Chilled Water - Electric,-21109.0,kBtu (thousand Btu),0.0,2012,10
3237241,9853069,District Chilled Water - Electric,-20526.0,kBtu (thousand Btu),0.0,2012,11
3237241,9853069,District Chilled Water - Electric,-4107.0,kBtu (thousand Btu),0.0,2012,12
3237241,9853069,District Chilled Water - Electric,-713.0,kBtu (thousand Btu),0.0,2013,01
3237241,9853069,District Chilled Water - Electric,0.0,kBtu (thousand Btu),0.0,2013,02
3237241,9853069,District Chilled Water - Electric,-900.0,kBtu (thousand Btu),0.0,2013,03
3237241,9853069,District Chilled Water - Electric,-19895.0,kBtu (thousand Btu),0.0,2013,04
3237241,9853069,District Chilled Water - Electric,-33705.0,kBtu (thousand Btu),0.0,2013,05
