Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
4123215,8787462,Other: Mixed Indoor/Outdoor,450894.0,Gallons,7259.0,2013,05
4123215,8787462,Other: Mixed Indoor/Outdoor,460526.0,Gallons,7414.0,2013,06
4123215,8787462,Other: Mixed Indoor/Outdoor,536992.0,Gallons,8646.0,2013,07
4123215,8787462,Other: Mixed Indoor/Outdoor,526792.0,Gallons,8481.0,2013,08
4123215,8787462,Other: Mixed Indoor/Outdoor,510393.0,Gallons,8217.0,2013,09
4123215,8787462,Other: Mixed Indoor/Outdoor,568559.0,Gallons,9154.0,2013,10
4123215,8787462,Other: Mixed Indoor/Outdoor,524292.0,Gallons,8441.0,2013,11
4123215,8787462,Other: Mixed Indoor/Outdoor,528092.0,Gallons,9110.0,2013,12
4123215,8787462,Other: Mixed Indoor/Outdoor,571692.0,Gallons,9862.0,2014,01
4123215,8787462,Other: Mixed Indoor/Outdoor,499093.0,Gallons,8609.0,2014,02
4123215,8787462,Other: Mixed Indoor/Outdoor,450293.0,Gallons,7768.0,2014,03
4123215,8787462,Other: Mixed Indoor/Outdoor,489593.0,Gallons,8445.0,2014,04
4123215,8787462,Other: Mixed Indoor/Outdoor,415894.0,Gallons,7174.0,2014,05
4123215,8787462,Other: Mixed Indoor/Outdoor,485328.0,Gallons,8372.0,2014,06
4123215,8787462,Other: Mixed Indoor/Outdoor,441194.0,Gallons,8030.0,2014,07
4123215,8787462,Other: Mixed Indoor/Outdoor,427994.0,Gallons,7789.0,2014,08
4123215,8787462,Other: Mixed Indoor/Outdoor,428994.0,Gallons,7808.0,2014,09
4123215,8787462,Other: Mixed Indoor/Outdoor,389195.0,Gallons,7083.0,2014,10
4123215,8787462,Other: Mixed Indoor/Outdoor,273896.0,Gallons,4985.0,2014,11
4123215,8787462,Other: Mixed Indoor/Outdoor,284295.0,Gallons,5174.0,2014,12
4123215,8787462,Other: Mixed Indoor/Outdoor,266499.0,Gallons,4850.0,2015,01
4123215,8787462,Other: Mixed Indoor/Outdoor,283795.0,Gallons,7038.0,2015,02
4123215,8787462,Other: Mixed Indoor/Outdoor,317895.0,Gallons,7884.0,2015,03
4123215,8787462,Other: Mixed Indoor/Outdoor,349194.0,Gallons,8660.0,2015,04
4123215,8787462,Other: Mixed Indoor/Outdoor,342296.0,Gallons,8489.0,2015,05
4123215,8787462,Other: Mixed Indoor/Outdoor,354794.0,Gallons,8799.0,2015,06
